,id,eqn
2021,1802.04064,"
\label{eq:csc_oracle}
\arg\min_{\pi\in \Pi} \sum_{t=1}^T c_t(\pi(x_t)).
"
2022,1802.04064,"
\label{eq:reg_oracle}
\arg\min_{f\in \mathcal{F}} \sum_{t=1}^T \omega_t(f(x_t, a_t) - y_t)^2.
"
2023,1802.04064,"
\label{eq:ips}
\hat{\ell}_t(a) := \frac{\ell_t(a_t)}{p_t(a_t)} \1\{a = a_t\}.
"
2024,1802.04064,"
\label{eq:dr}
\hat{\ell}_t(a) := \frac{\ell_t(a_t) - \hat{\ell}(x_t, a_t)}{p_t(a_t)} \1\{a = a_t\} + \hat{\ell}(x_t, a).
"
2025,1802.04064,"
\label{eq:loss_estimator_def}
\hat \ell := \arg\min_{f \in \mathcal F} \sum_{t' \leq t} (f(x_{t'}, a_{t'}) - \ell_{t'}(a_{t'}))^2.
"
2026,1802.04064,"
\label{eq:mtr}
\hat{f} := \arg\min_{f \in \mathcal{F}} \sum_{t=1}^T \frac{1}{p_t(a_t)}(f(x_t, a_t) - \ell_t(a_t))^2,
"
2027,1802.04064,"
\label{eq:loss_enc_def}
\ell_t^{c}(a) = c + c_t(a),
"
2028,1802.04064,"
\label{eq:lucb}
l_t(a) = \min_{f \in \mathcal F_t} f(x_t, a), \quad \text{and} \quad u_t(a) = \max_{f \in \mathcal F_t} f(x_t, a).
"
2029,1802.04064,"
\label{eq:fomega}
f^l_{a,\omega} := \arg\min_{f \in \mathcal F} ~(t-1) \hat R_{t-1}(f) + \omega (f(x_t, a) - y_l)^2,
"
2030,1802.04064,"
\label{eq:fomega_approx}
f^l_{a,\omega}(x_t, a) \approx f(x_t, a) + s^l_a \omega,
"
2031,1802.04064,"
\label{eq:regcb_delta}
\Delta_{t,C_0} = C_0 \log (Kt),
"
2032,1802.04064,"
\label{eq:threshold}
\Delta_T := \left(\sqrt{\frac{2K}{\epsilon}} + 1\right) \sqrt{e_{T-1}} + \left( \frac{K}{\epsilon} + 3\right) e_{T-1}.
"
2033,1802.04064,"
\label{eq:deviation_tot}
\Delta_T^*(\pi) := \left(\sqrt{\frac{2K}{\epsilon}} + 1\right) \sqrt{\rho(\pi, \pi^*) e_{T-1}} + \left( \frac{K}{\epsilon} + 3\right) e_{T-1}.
"
2034,1802.04064,"
\label{eq:favorable_bias}
\tilde{L}_{T}(\pi) - \tilde{L}_{T}(\pi^*) \geq L_{T}(\pi) - L_{T}(\pi^*).
"
2035,1802.04064,"\tag{M}
\label{eq:massart}
\rho(\pi, \pi^*) \leq \frac{1}{\tau} (L(\pi) - L(\pi^*)).
"
2036,1805.11956,"
	\text{ReLU}(y_i) = \max(0, y_i)
"
2037,1805.11956,"
	\text{PReLU}(y_i) = 
	\begin{cases}
		y_i &\mbox{if $y_i>0$}\\
		\beta_i y_i &\mbox{if $y_i \leq 0$}
   \end{cases}
"
2038,1805.11956,"
	\text{SELU}(y_i) = \lambda
	\begin{cases}
		y_i &\mbox{if $y_i>0$}\\
		\alpha e^{y_i} - \alpha &\mbox{if $y_i \leq 0$}
   \end{cases}
"
2039,1805.11956,"
\mathcal{H}(x) = \mathcal{F}(x,\Theta) + x
"
2040,1805.11956,"
x_K = x_0 + \sum_{i=1}^{K}{\mathcal{F}(x_{i-1}, \Theta_{i-1})}
"
2041,1805.11956,"
\frac{\partial \mathcal{L}}{\partial x_0} = \frac{\partial \mathcal{L}}{\partial x_K}(1+\frac{\partial }{\partial x_0}\sum_{i=1}^{K}{\mathcal{F}(x_{i-1}, \Theta_{i-1})})
"
2042,1805.11956,"
p(y^*|x^*) = \int_{\mathcal{W}}p(y^*|f^{\mathcal{W}}(x^*))p(\mathcal{W}|X,Y)\,\mathrm{d}\mathcal{W}
"
2043,1805.11956,"
\begin{aligned}
\mathrm{Var}(y^*|x^*) & =\mathrm{Var}\left[\mathbb{E}(y^*|\mathcal{W},x^*)\right]+\mathbb{E}\left[\mathrm{Var}(y^*|\mathcal{W},x^*)\right] \\
& = \mathrm{Var}(f^{\mathcal{W}}(x^*))+ \sigma^2 \\
& \approx \frac{1}{M} \sum^M_{m=1}(\hat{y}^*_{(m)}-\bar{\hat{y}}^*)^2 + \sigma^2
\end{aligned}
"
2044,1805.11956,"
\sigma^2 = \frac{\beta}{V}\sum^V_{v=1}{(y'_v - f^{\hat{\mathcal{W}}}(x'_v))^2}
"
2045,1805.11956,"
\mathcal{L} = \mathcal{L}_{E} + \mathcal{L}_{R}
"
2046,1805.11956,"
\mathcal{L}_{E} = \frac{1}{NH}\sum^N_{i=1}{\sum^H_{h=1}{\frac{\left|\hat{y}_{(i,h)} - y_{(i,h)}\right|}{y_{(i,h)}}}} 
"
2047,1805.11956,"
\begin{aligned}
\mathcal{L}_{R} = & \frac{1}{2N}\sum^N_{i=1} \max(0, \max\limits_h\hat{y}_{(i,h)} - \max\limits_hy_{(i,h)})  \\ 
& + \max(0, \min\limits_hy_{(i,h)} - \min\limits_h\hat{y}_{(i,h)})
\end{aligned}
"
2048,1805.11916,"
  %\bPhi_{ij} \equiv \bPhi(\x_i, \x_j) = \E_{\w} \G_{ij}  = \E_{\w} \sigma(\w^\T \x_i) \sigma(\w^\T \x_j).
	\bPhi(\x_i, \x_j) = \E_{\w} \G_{ij}  = \E_{\w} \sigma(\w^\T \x_i) \sigma(\w^\T \x_j).
  \label{eq:definition-Phi}
"
2049,1805.11916,"\label{eq:spike-model}
	\tilde \bPhi = d_1 \bOmega^\T \bOmega + \V \A \V^\T + d_0 \mathbf{I}_T
"
2050,1711.05512,"\label{eq:cnn_function}
	\begin{split}
	L_\text{\cnn}(\bm{W})= 
	&\underbrace{-\frac{1}{|I|} \sum_{i=1}^{|I|} \sum_{k=1}^K y_{i,k} \log \hat y_{i,k} }_\text{Cross-entropy loss}
	\hspace{2mm} + \hspace{2mm}
	\lambda_1 \underbrace{\left\Vert\bm{W} \right\Vert^2 }_\text{\makebox[0pt]{L2 regularization}}\ . 
	\end{split}
	"
2051,1711.05512,"\label{eq:noise_augmentation}
	P_{ijk}^\text{noise}=P_{ijk} + \beta \cdot \bm{\epsilon}_{ijk}\ ,
	"
2052,1711.05512,"\label{eq:objective_function}
	\begin{split}
	L(\bm{W})= 
	&\underbrace{-\frac{1}{|I|} \sum_{i=1}^{|I|} \sum_{k=1}^K y_{i,k} \log \hat y_{i,k} }_\text{Cross-entropy loss}
	\hspace{2mm} + \hspace{2mm}
	\lambda_1 \underbrace{\left\Vert\bm{W} \right\Vert^2}_\text{\makebox[0pt]{L2 regularization}}
	\hspace{2mm} + \hspace{2mm}
	\lambda_2 \underbrace{\left\Vert\bm{w_{1}} - \text{shift}(\bm{w_{1}}) \right\Vert^2}_\text{\makebox[0pt]{Locality-aware regularization}}.
	\end{split}
	"
2053,1711.05512,"\label{eq:gaussian_smoothing}
	P^\text{smt}_{ijk} = \frac{\sum_{i'}\sum_{j'} P^\text{noise}_{ijk} \exp(-\|(i,j)-(i',j')\|^2/2\sigma)}{\sum_{i'}\sum_{j'} \exp(-\|(i,j)-(i',j')\|^2/2\sigma)}\ ,
	"
2054,1711.05512," \label{eq:label_augmentation}	
	p(\text{select }j) = 1-\frac{C_{y_i}-\min(C)}{\max(C)-\min(C)},
	"
2055,1805.10765,"
\setlength{\jot}{5pt}
\begin{aligned}
% \langle \rangle
& \{ \partial\mathcal{L}^{ic}_{ID}({Y}_{C_k}, \mathcal{Y}_{C_k}) \}_{C_k} \\
&= - \partial\log \det (\matr{L}_{{Y}_{C_k}}) + \partial\log \det (\matr{L}_{\mathcal{Y}_{C_k}}+\matr{I}_{\mathcal{Y}_{C_k}})\\
&= - \partial\Tr (\log(\matr{L}_{{Y}_{C_k}}))+\partial\Tr (\log (\matr{L}_{\mathcal{Y}_{C_k}}+\matr{I}_{\mathcal{Y}_{C_k}})) \\
&= - \Tr (\matr{L}_{{Y}_{C_k}}^{-T}\partial\matr{L}_{{Y}_{C_k}}) \\
 & \;\;\;\; + \Tr ((\matr{L}_{\mathcal{Y}_{C_k}}+\matr{I}_{\mathcal{Y}_{C_k}})^{-T}\partial(\matr{L}_{\mathcal{Y}_{C_k}}+\matr{I}_{\mathcal{Y}_{C_k}})) \\
&= -\langle {\matr{L}_{{Y}_{C_k}}}^{-1}, \; \partial\matr{L}_{{Y}_{C_k}} \rangle \\
& \;\;\;\; + \langle {(\matr{L}_{\mathcal{Y}_{C_k}}+\matr{I}_{\mathcal{Y}_{C_k}})}^{-1},\; \partial\matr{L}_{\mathcal{Y}_{C_k}} \rangle ,\\
\end{aligned}
"
2056,1805.10765,"
\begin{aligned}
\partial\matr{L} = \lambda \cdot \matr{Q} \odot (\partial\matr{V}\matr{V}^T + \matr{V}\partial\matr{V}^T),
\end{aligned}
"
2057,1805.10765,"
\begin{aligned}
\{& \partial\mathcal{L}^{ic}_{ID}({Y}_{C_k}, \mathcal{Y}_{C_k}) \}_{C_k} \\
&= -2\lambda \cdot \langle {(\matr{Q}_{{Y}_{C_k}} \odot \matr{L}_{{Y}_{C_k}})}^{-1}{\matr{V}_{{Y}_{C_k}},\; \partial\matr{V}_{{Y}_{C_k}}\rangle}\\
&\hspace{3ex}{+2\lambda \cdot \langle \matr{Q}_{\mathcal{Y}_{C_k}} \odot{( \matr{L}_{\mathcal{Y}_{C_k}}+\matr{I}_{\mathcal{Y}_{C_k}})}^{-1}\matr{V}_{\mathcal{Y}_{C_k}},\; \partial\matr{V}_{\mathcal{Y}_{C_k}}\rangle}.\\
\end{aligned}
"
2058,1805.10765,"
\begin{aligned} \label{eq:ic_eq}
\Bigg\{&\frac{\partial\mathcal{L}^{ic}_{ID}({Y}_{C_k}, \mathcal{Y}_{C_k})}{\partial\matr{V}} \Bigg\}_{C_k} \\ &= -2\lambda \cdot (\matr{Q}_{{Y}_{C_k}} \odot \matr{L}_{{Y}_{C_k}})^{-1}\matr{V}_{{Y}_{C_k}}\\
& \hspace{3ex} + 2\lambda \cdot \matr{Q}_{\mathcal{Y}_{C_k}} \odot (\matr{L}_{\mathcal{Y}_{C_k}} + \matr{I}_{\mathcal{Y}_{C_k}})^{-1} \matr{V}_{\mathcal{Y}_{C_k}}.
\end{aligned}
"
2059,1805.10765,"
\begin{aligned}
 &\frac{\partial\mathcal{L}_{ID}(Y_{rep}, \mathcal{Y}_{s}, {Y}_{C_k}, \mathcal{Y}_{C_k} )}{\partial\matr{V}} \\=&\frac{\partial\mathcal{L}^{all}_{ID}(Y_{rep}, \mathcal{Y}_{s})}{\partial\matr{V}} + \sum_{k=1}^{n_c} \Bigg\{ \frac{\partial\mathcal{L}^{ic}_{ID}({Y}_{C_k}, \mathcal{Y}_{C_k})}{\partial\matr{V}} \Bigg\}_{C_k}.
\end{aligned}
"
2060,1805.10765,"
\setlength{\jot}{5pt}
\begin{aligned}
& \partial\mathcal{L}_{SS}({Y}_{pos}, \mathcal{Y}_{m}) \\
&= - \partial\log \det (\matr{L}_{{Y}_{pos}} + \matr{I}_{{Y}_{pos}}) + \partial\log \det (\matr{L}_{\mathcal{Y}_{m}}+\matr{I}_{\mathcal{Y}_{m}})\\
&= - \partial \Tr (\log(\matr{L}_{{Y}_{pos}} + \matr{I}_{{Y}_{pos}}))+\partial \Tr (\log (\matr{L}_{\mathcal{Y}_{m}}+\matr{I}_{\mathcal{Y}_{m}})) \\
&= - \Tr ((\matr{L}_{{Y}_{pos}} + \matr{I}_{{Y}_{pos}})^{-T}\partial\matr{L}_{{Y}_{pos}} + \matr{I}_{{Y}_{pos}}) \\ & \;\;\;\; + \Tr ((\matr{L}_{\mathcal{Y}_{m}}+\matr{I}_{\mathcal{Y}_{m}})^{-T}\partial(\matr{L}_{\mathcal{Y}_{m}}+\matr{I}_{\mathcal{Y}_{m}})) \\
&= -\langle {(\matr{L}_{{Y}_{pos}} + \matr{I}_{{Y}_{pos}}})^{-1}, \; \partial\matr{L}_{{Y}_{pos}} + \matr{I}_{{Y}_{pos}} \rangle \\
& \;\;\;\; + \langle {(\matr{L}_{\mathcal{Y}_{m}}+\matr{I}_{\mathcal{Y}_{m}})}^{-1},\; \partial\matr{L}_{\mathcal{Y}_{m}} \rangle.\\
\end{aligned}
"
2061,1805.10765,"
\begin{aligned}
&\partial\matr{L} =  \matr{S} \odot (\partial\matr{q}\matr{q}^T + \matr{q}\partial\matr{q}^T),\\
&\langle \matr{A} ,\; \matr{B} \odot \matr{C} \rangle = \langle \matr{A} \odot \matr{B} ,\; \matr{C} \rangle,
\end{aligned}
"
2062,1805.10765,"
\begin{aligned}
& \partial\mathcal{L}_{SS}({Y}_{pos}, \mathcal{Y}_{m}) \\
&= -2 \cdot \langle {\matr{S}_{{Y}_{pos}} \odot (\matr{L}_{{Y}_{pos}}+\matr{I}_{{Y}_{pos}})^{-1}}{\textbf{q}_{{Y}_{pos}},\; \partial\textbf{q}_{{Y}_{pos}}\rangle}\\
&\hspace{3ex}{+2 \cdot \langle \matr{S}_{\mathcal{Y}_{m}} \odot{( \matr{L}_{\mathcal{Y}_{m}}+\matr{I}_{\mathcal{Y}_{m}})}^{-1}\textbf{q}_{\mathcal{Y}_{m}},\;
{\partial\textbf{q}_{\mathcal{Y}_{m}}\rangle}.}
\end{aligned}
"
2063,1805.10765,"
\begin{aligned}
& \frac{\partial\mathcal{L}_{SS}({Y}_{pos}, \mathcal{Y}_{m})}{\partial\textbf{q}} \\
&= -2 \cdot \matr{S}_{{Y}_{pos}} \odot (\matr{L}_{{Y}_{pos}} + \matr{I}_{{Y}_{pos}})^{-1}\textbf{q}_{{Y}_{pos}}\\
& \hspace{2.5ex} + 2 \cdot \matr{S}_{\mathcal{Y}_{m}} \odot (\matr{L}_{\mathcal{Y}_{m}} + \matr{I}_{\mathcal{Y}_{m}})^{-1} \textbf{q}_{\mathcal{Y}_{m}}.
\end{aligned}
"
2064,1805.09965,"\label{eq.gd2}
	\bbtheta^{k+1}=\bbtheta^k-\alpha \sum_{m\in{\cal M}}\nabla{\cal L}_m(\bbtheta^{k-1}) -\alpha\sum_{m\in{\cal M}}\left(\nabla{\cal L}_m\big(\bbtheta^k\big)-\nabla{\cal L}_m\big(\bbtheta^{k-1}\big)\right).
"
2065,1805.09965,"\label{eq.lemma5}
 {\cal L}(\bar{\bbtheta}^{k+1})- {\cal L}(\bbtheta^k)\leq -\left(\alpha-\frac{\alpha^2 L}{2}\right)\|\nabla {\cal L}(\bbtheta^k)\|^2:=\Delta_{\rm GD}^k(\bbtheta^k).
"
2066,1805.09965,"\label{eq.lemma1}
\small
{\cal L}(\bbtheta^{k+1})\!-\!{\cal L}(\bbtheta^k)\leq \!-\frac{\alpha}{2}\left\|\nabla{\cal L}(\bbtheta^k)\right\|^2+\frac{\alpha}{2}\Big\|\!\sum_{m\in{\cal M}^k_c}\!\!\!\delta\nabla^k_m\Big\|^2\!+\!\left(\frac{L}{2}\!-\!\frac{1}{2\alpha}\right)\!\left\|\bbtheta^{k+1}\!\!-\!\bbtheta^k\right\|^2\!\!:=\!\Delta_{\rm LAG}^k(\bbtheta^k).\!
	"
2067,1805.09965,"\label{eq.cond}
\frac{\Delta_{\rm LAG}^k(\bbtheta^k)}{|{\cal M}^k|}\leq \frac{\Delta_{\rm GD}^k(\bbtheta^k)}{M}.
"
2068,1805.09965,"\label{eq.cond-2}
\Bigg\|\sum_{m\in{\cal M}_c^k}\!\!\Big(\nabla{\cal L}_m\big(\hat{\bbtheta}_m^{k-1}\big)\!-\!\nabla{\cal L}_m\big(\bbtheta^k\big)\!\Big)\Bigg\|^2\leq \left|{\cal M}_c^k\right| \left\|\nabla {\cal L}(\bbtheta^k)\right\|^2\Big/M.
"
2069,1805.09965,"\label{eq.cond-3}
\Bigg\|\!\sum_{m\in{\cal M}_c^k}\!\Big(\nabla{\cal L}_m\big(\hat{\bbtheta}_m^{k-1}\big)\!-\!\nabla{\cal L}_m\big(\bbtheta^k\big)\!\Big)\Bigg\|^2\leq \left|{\cal M}_c^k\right|	\sum_{m\in{\cal M}_c^k}\left\|\nabla{\cal L}_m\big(\hat{\bbtheta}_m^{k-1}\big)\!-\!\nabla{\cal L}_m\big(\bbtheta^k\big)\right\|^2
"
2070,1805.09965,"\label{eq.cond-4}
\left\|\nabla{\cal L}_m\big(\hat{\bbtheta}_m^{k-1}\big)\!-\!\nabla{\cal L}_m\big(\bbtheta^k\big)\right\|^2\leq \left\|\nabla {\cal L}(\bbtheta^k)\right\|^2\Big/{M^2},~~~\forall m\in{\cal M}^k_c.
"
2071,1805.09965,"\label{eq.delta-approx}
\left\|\nabla {\cal L}(\bbtheta^k)\right\|^2\approx \frac{1}{\alpha^2}\sum_{d=1}^D \xi_d\Big\|\bbtheta^{k+1-d}-\bbtheta^{k-d}\Big\|^2
"
2072,1805.09965,"\label{eq.Lyap}
 	\mathbb{V}^k:={\cal L}(\bbtheta^k)-{\cal L}(\bbtheta^*)+\sum_{d=1}^D \beta_d\left\|\bbtheta^{k+1-d}-\bbtheta^{k-d}\right\|^2
 "
2073,1805.09965,"
%\left(\frac{L}{2}-\frac{1}{2\alpha}+\beta\right)\left(1+\rho\right)\alpha^2-\frac{\alpha}{2}\leq 0
%"
2074,1805.09965,"\label{eq.lemma2}
\mathbb{V}^{k+1}-\mathbb{V}^k\leq -c_0\left\|\nabla{\cal L}(\bbtheta^k)\right\|^2-\sum_{d=1}^D c_d\left\|\bbtheta^{k+1-d}\!-\!\bbtheta^{k-d}\right\|^2\!\!\!
"
2075,1805.09965,"
%\small
%	c_0=\frac{\alpha}{2}~~~ {\rm and}~~~ c_d=\frac{\xi_d}{2\alpha}\left(\frac{1}{\eta}-\frac{|{\cal M}^k|^2}{M^2}\right).
%"
2076,1805.09965,"\label{eq.para-set}
\xi_1=\cdots=\xi_D:=\xi<\frac{1}{D},~~~~\alpha:=\frac{1-\sqrt{D\xi}}{L},~~~~\beta_1=\cdots=\beta_D:=\frac{D-d+1}{2\alpha \sqrt{D/\xi}}
"
2077,1805.09965,"\label{iter.para-set}
\mathbb{I}_{\rm LAG}(\epsilon)= \frac{\kappa}{1-\sqrt{D\xi}}\log\left(\epsilon^{-1}\right).	
"
2078,1805.09965,"\label{eq.lemma4}
\mathds{H}^2(m)\leq \xi_d \big/ (d\alpha^2 L^2 M^2):=\gamma_d
 "
2079,1805.09965,"\label{eq.heter-score}
		h(\gamma):=\frac{1}{M}\sum_{m\in{\cal M}}\mathds{1}(\mathds{H}^2(m)\leq \gamma)
	"
2080,1805.09965,"\label{eq.prop5}
\mathbb{C}_{\rm LAG}(\epsilon)\leq \bigg(\!1-\sum_{d=1}^D\left(\frac{1}{d}-\frac{1}{d+1}\right)h\left(\gamma_d\right)\!\!\bigg)\!M\,\mathbb{I}_{\rm LAG}(\epsilon):=\left(1-\Delta\bar{\mathbb{C}}(h;\{\gamma_d\})\right)\!M\,\mathbb{I}_{\rm LAG}(\epsilon)
"
2081,1805.09965,"\label{eq.prop5-2}
\mathbb{C}_{\rm LAG}(\epsilon)\leq \big(1-\Delta\bar{\mathbb{C}}(h;\xi)\big)\mathbb{C}_{\rm GD}(\epsilon)\big/\big(1-\sqrt{D\xi}\big).
"
2082,1805.09965,"
\mathbb{C}_{\rm LAG}(\epsilon)\big/\mathbb{C}_{\rm GD}(\epsilon)\leq \left[1-\left(1-\frac{1}{D+1}\right)\!\!\left(1-\frac{1}{M}\right)\right]\Big/\Big(1-{MD}/L\Big)\approx \frac{M+D}{M(D+1)}\approx\frac{2}{M}.
	"
2083,1805.09965,"\label{eq.theorem1}
{\cal L}(\bbtheta^K)-{\cal L}(\bbtheta^*)={\cal O}\left({1}/{K}\right).
"
2084,1805.09965,"\label{eq.theorem0}
\min_{1\leq k \leq K}\big\|\bbtheta^{k+1}-\bbtheta^k\big\|^2=o\left({1}/{K}\right)~~~{\rm and}~~~\min_{1\leq k \leq K}\big\|\nabla {\cal L}(\bbtheta^k)\big\|^2=o\left({1}/{K}\right).
"
2085,1805.09965,"\label{eq.pf-lemma1-1}
	{\cal L}(\bbtheta^{k+1})-{\cal L}(\bbtheta^k)\leq \left\langle \nabla{\cal L}(\bbtheta^k), \bbtheta^{k+1}-\bbtheta^k\right\rangle+\frac{L}{2}\left\|\bbtheta^{k+1}-\bbtheta^k\right\|^2.
"
2086,1805.09965,"\label{app-eq.cond}
%\frac{\Delta_{\rm LAG}^k(\bbtheta^k)}{|{\cal M}^k|}\leq \frac{\Delta_{\rm GD}^k(\bbtheta^k) }{|{\cal M}|}.
%"
2087,1805.09965,"\label{app-eq.cond-2}
%\Bigg\|\sum_{m\in{\cal M}_c^k}\!\!\Big(\nabla{\cal L}_m\big(\hat{\bbtheta}_m^{k-1}\big)\!-\!\nabla{\cal L}_m\big(\bbtheta^k\big)\!\Big)\Bigg\|^2\leq \frac{|{\cal M}_c^k|}{|{\cal M}|}\|\nabla {\cal L}(\bbtheta^k)\|^2.
%"
2088,1805.09965,"\label{app-eq.cond-3}
%\Bigg\|\!\sum_{m\in{\cal M}_c^k}\!\Big(\nabla{\cal L}_m\big(\hat{\bbtheta}_m^{k-1}\big)\!-\!\nabla{\cal L}_m\big(\bbtheta^k\big)\!\Big)\Bigg\|^2\leq \left|{\cal M}_c^k\right|	\sum_{m\in{\cal M}_c^k}\left\|\nabla{\cal L}_m\big(\hat{\bbtheta}_m^{k-1}\big)\!-\!\nabla{\cal L}_m\big(\bbtheta^k\big)\right\|^2
%"
2089,1805.09965,"\label{app-eq.cond-4}
%\sum_{m\in{\cal M}_c^k}\left\|\nabla{\cal L}_m\big(\hat{\bbtheta}_m^{k-1}\big)\!-\!\nabla{\cal L}_m\big(\bbtheta^k\big)\right\|^2\leq \frac{\|\nabla {\cal L}(\bbtheta^k)\|^2}{|{\cal M}|}
%"
2090,1805.09965,"\label{app-eq.delta-approx}
%\|\nabla {\cal L}(\bbtheta^k)\|^2\approx \frac{1}{\alpha^2}\sum_{d=1}^D \xi_d\Big\|\bbtheta^{k+1-d}-\bbtheta^{k-d}\Big\|^2
%"
2091,1805.09965,"
%\left\|\nabla{\cal L}_m\big(\hat{\bbtheta}_m^{k-1}\big)\!-\!\nabla{\cal L}_m\big(\bbtheta^k\big)\right\|^2\leq \frac{1}{\alpha^2 M^2}\sum_{d=1}^D \xi_d\Big\|\bbtheta^{k+1-d}-\bbtheta^{k-d}\Big\|^2
%"
2092,1805.09965,"\label{eq.coeff}
%\frac{\xi\left|{\cal M}^k_c\right|^2}{2\alpha|{\cal M}|^2}-\frac{1-\alpha L}{2\alpha}\leq 0~\iff~\xi\left|{\cal M}^k_c\right|^2\leq (1-\alpha L)\left|{\cal M}\right|^2.
%"
2093,1805.09965,"\label{eq.beta-cond4}
\xi_d \leq \frac{2\alpha(\beta_d-\beta_{d+1})|{\cal M}|^2}{(2\alpha\beta_1(1+\rho^{-1})+1)|{\cal M}^k_c|^2}~~~{\rm and}~~~\xi_D\!\leq \frac{2\alpha\beta_D|{\cal M}|^2}{\left(2\alpha\beta_1(1+\rho^{-1})+1\right)|{\cal M}^k_c|^2}.	
"
2094,1805.09965,"\label{eq.scvx}
2\mu\left({\cal L}(\bbtheta^k)-{\cal L}(\bbtheta^*)\right)\leq \left\|\nabla{\cal L}(\bbtheta^k)\right\|^2.
"
2095,1805.09965,"\label{eq.pf-linear-const}
	\mathbb{V}^{k+1}\leq\left(1-c(\alpha;\{\xi_d\})\right)\mathbb{V}^k.
"
2096,1805.09965,"\label{eq.para-set1}
\xi_1=\ldots=\xi_D:=\xi<\frac{1}{D}	~~~~~~{\rm and}~~~~~~\alpha:=\frac{1-D\xi/\eta}{L} ~~~~~~{\rm and}~~~~~~\beta_d:=\frac{(D-d+1)\xi}{2\alpha \eta},\,\forall d=1,\cdots,D
"
2097,1805.09965,"\label{eq.para-set2}
\Gamma:=1-c(\alpha;\{\xi_d\})=\max_k\max_{d=1,\ldots,D}\left\{1-\frac{1-D\xi/\eta}{\kappa},\,\frac{\eta \left|{\cal M}^k_c\right|^2}{\left|{\cal M}\right|^2},\, \frac{D-d+\eta \left|{\cal M}^k_c\right|^2/\left|{\cal M}\right|^2}{D-d+1}\right\}.\!\!
"
2098,1805.09965,"\label{eq.para-set3}
		\Gamma=\max_k\left\{1-\frac{1-\sqrt{D\xi}}{\kappa},\, \frac{D-1+\sqrt{D\xi} \left|{\cal M}^k_c\right|^2/\left|{\cal M}\right|^2}{D}  \right\}\stackrel{(a)}{=}1-\frac{1-\sqrt{D\xi}}{\kappa}.
"
2099,1805.09965,"
%	\xi\leq \frac{\left|{\cal M}^k\right|^4}{D\left|{\cal M}^k_c\right|^4}.
%"
2100,1805.09965,"
	\mathds{H}^2(m)\leq \frac{\xi_d}{d\alpha^2 L^2 M^2}\leq  \frac{\xi_d}{d'\alpha^2 L^2 M^2}
"
2101,1805.09965,"
	\mathds{H}^2(m)\leq \frac{\xi_d}{\alpha^2 L^2 |{\cal M}|^2 d}:=\gamma_d.
"
2102,1805.09965,"\label{eq.comm2}
	\mathbb{C}_{\rm LAG}(\epsilon)\leq \left(1-\Delta\bar{\mathbb{C}}(h;\xi)\right)\frac{M\kappa}{1-\sqrt{D\xi}} \log (\epsilon^{-1})
"
2103,1805.09965,"
\frac{1-\Delta\bar{\mathbb{C}}(h;\xi)}{1-\sqrt{D\xi}}\leq 1~~~\iff~~~\sqrt{D\xi}\leq \Delta\bar{\mathbb{C}}(h;\xi)
"
2104,1805.09965,"\label{pf-eq.comm2-2}
\!	\Delta\bar{\mathbb{C}}(h;\xi)\!\in\!\left[\frac{Dh(\gamma_D)}{D+1},\frac{Dh(\gamma_1)}{D+1}\right]\subseteq \left[0,\frac{D}{D+1}\right]
"
2105,1805.09965,"
%%		\mathds{H}(1)=\mathds{H}(2)=\ldots=\mathds{H}(M-1)=0,~~~\mathds{H}(M)=1	
%%	"
2106,1805.09965,"
%	\small
%1-\sum_{d=1}^D\left(\frac{1}{d}-\frac{1}{d+1}\right)h\left(\gamma_d\right)\leq 1-\left(1-\frac{1}{D+1}\right)\left(1-\frac{1}{M}\right)=\frac{M+D}{M(D+1)}.
%	"
2107,1805.09965,"\label{eq.pf-lemma3-1}
	{\cal L}(\bbtheta^k)-{\cal L}(\bbtheta^*)\leq \langle \nabla{\cal L}(\bbtheta^k), \bbtheta^k-\bbtheta^*\rangle.	
	"
2108,1805.09965,"\label{eq.pf-theorem1-3}
\overline{\mathbb{V}}^k(2):=\left\|\bbtheta^k\!-\!\bbtheta^*\right\|^2\!+\!\sum_{d=1}^D \beta_d\left\|\bbtheta^{k+1-d}-\bbtheta^{k-d}\right\|^2\leq R	
"
2109,1805.09965,"\label{eq.pf-theorem1-4}
	\left(\mathbb{V}^k\right)^2\leq \overline{\mathbb{V}}^k(1)\overline{\mathbb{V}}^k(2)\leq \frac{R}{c(\alpha;\{\xi_d\})}(\mathbb{V}^k-\mathbb{V}^{k+1}).
"
2110,1805.09965,"\label{eq.pf-theorem1-5}
\mathbb{V}^{k+1}\mathbb{V}^k\leq \left(\mathbb{V}^k\right)^2\leq \frac{R}{c(\alpha;\{\xi_d\})}(\mathbb{V}^k-\mathbb{V}^{k+1}).
"
2111,1805.09965,"\label{eq.pf-theorem1-6}
\frac{c(\alpha;\{\xi_d\})}{R} \leq \frac{1}{\mathbb{V}^{k+1}}-\frac{1}{\mathbb{V}^k}.
"
2112,1805.09965,"
	\frac{K c(\alpha;\{\xi_d\})}{R} \leq \frac{1}{\mathbb{V}^K}-\frac{1}{\mathbb{V}^0}\leq  \frac{1}{\mathbb{V}^{K}}
"
2113,1805.09965,"
	\sum_{k=1}^{\infty}\left\|\bbtheta^{k+1}-\bbtheta^k\right\|^2<\infty
"
2114,1805.09965,"
\sum_{k=1}^{\infty}\left\|\nabla{\cal L}(\bbtheta^k)\right\|^2<\infty.
"
